numeroCfrNavire;Navire;dateDebutValidite;dateFinValidite
FRA000231879;CACH;01/01/2022;31/12/2022
FRA000898472;CAP LIHOU;01/01/2022;31/12/2022
FRA000764626;CHANT DES SIRENES;01/01/2022;31/12/2022
FRA000922338;CHARLES MARIE II;01/01/2022;31/12/2022
FRA000333338;CITE DES DUCS;01/01/2022;31/12/2022
FRA000730419;CLEMENT THOMAS ELENA;01/01/2022;31/12/2022
FRA000221341;CONSTELLATION;01/01/2022;31/12/2022
FRA000925488;CORTO MALTESE;01/01/2022;31/12/2022
FRA000933871;ETOURDI;01/01/2022;31/12/2022
FRA000626639;FILS DU VENT;01/01/2022;31/12/2022
FRA000738306;FRANCK-ANNIE;01/01/2022;31/12/2022
FRA000721150;GIMACO;01/01/2022;31/12/2022
FRA000924706;GOELO;01/01/2022;31/12/2022
FRA000898469;HEGOAK;01/01/2022;31/12/2022
FRA000651332;HERA;01/01/2022;31/12/2022
FRA000734551;HERMINE BASTIEN STEEVEN;01/01/2022;31/12/2022
FRA000690935;PENN KLEIZ;01/01/2022;31/12/2022
FRA000722692;PENN KOAT;01/01/2022;31/12/2022
FRA000912317;JADE III;01/01/2022;31/12/2022
FRA000713657;L'ALIZE III;01/01/2022;31/12/2022
FRA000601016;L'ANDREAS;01/01/2022;31/12/2022
FRA000907879;L'ARC EN CIEL;01/01/2022;31/12/2022
FRA000777437;L'AURORE I;01/01/2022;31/12/2022
FRA000721900;LE COBBE;01/01/2022;31/12/2022
FRA000878713;LE COELACANTHE;01/01/2022;31/12/2022
FRA000601430;LE PECHE PARTOUT;01/01/2022;31/12/2022
FRA000639133;LE POULBOT;01/01/2022;31/12/2022
FRA000626645;LE P'TIT CAPRICE;01/01/2022;31/12/2022
FRA000589986;LE SAINT GAUD;01/01/2022;31/12/2022
FRA000721430;LE STYX;01/01/2022;31/12/2022
FRA000711553;LE TIBERIADE;01/01/2022;31/12/2022
FRA000845952;L'ECUME I;01/01/2022;31/12/2022
FRA000775415;MONACO DU NORD II;01/01/2022;31/12/2022
FRA000907953;MUSTANG;01/01/2022;31/12/2022
FRA000266507;OCEANO VOX;01/01/2022;31/12/2022
FRA000883742;OCTOPUSSY 2;01/01/2022;31/12/2022
FRA000777477;PENN KALET;01/01/2022;31/12/2022
FRA000638749;PESCADORE;01/01/2022;31/12/2022
FRA000639451;PHILCATHANE;01/01/2022;31/12/2022
FRA000571899;PHOENIX;01/01/2022;31/12/2022
FRA000614312;PIERRE DE JADE;01/01/2022;31/12/2022
FRA000517594;ROCALAMAUVE;01/01/2022;31/12/2022
FRA000640683;SIROCCO;01/01/2022;31/12/2022
FRA000907931;SIROCCO IX;01/01/2022;31/12/2022
FRA000932703;THAIS LEO;01/01/2022;31/12/2022
FRA000926557;TIMES KLOE;01/01/2022;31/12/2022
FRA000918297;TRAFALGAR;01/01/2022;31/12/2022
FRA000517520;YANN FREDERIC;01/01/2022;31/12/2022
FRA000626626;BLACK AND WHITE;01/01/2022;31/12/2022
FRA000750798;BLEUENN;01/01/2022;31/12/2022
FRA000753562;CARPE DIEM;01/01/2022;31/12/2022
FRA000711742;CEJANESS;01/01/2022;31/12/2022
FRA000925480;CLAUD'EDITH II;01/01/2022;31/12/2022
FRA000925487;DISCOVERY;01/01/2022;31/12/2022
FRA000865247;FUN;01/01/2022;31/12/2022
FRA000681900;JAREK;01/01/2022;31/12/2022
FRA000900359;LE RECIF;01/01/2022;31/12/2022
FRA000722230;LES ALIZES;01/01/2022;31/12/2022
FRA000930301;L'INTREPIDE;01/01/2022;31/12/2022
FRA000561887;L'OISEAU DE L'OCEAN;01/01/2022;31/12/2022
FRA000912278;LOKEYA;01/01/2022;31/12/2022
FRA000854158;MASCARET III;01/01/2022;31/12/2022
FRA000719717;SANTORIN;01/01/2022;31/12/2022
FRA000730716;YANN BLANDINE;01/01/2022;31/12/2022
FRA000750734;ASTRAGALE;01/01/2022;31/12/2022
FRA000827378;AU GRE DES FLOTS;01/01/2022;31/12/2022
FRA000929558;BULOTIER II;01/01/2022;31/12/2022
FRA000932880;CALEAN;01/01/2022;31/12/2022
FRA000918522;CAP LIZARD;01/01/2022;31/12/2022
FRA000922419;CHERIE D'AMOUR;01/01/2022;31/12/2022
FRA000934059;CHEZ WAM II;01/01/2022;31/12/2022
FRA000922589;COSTEGNO;01/01/2022;31/12/2022
FRA000922416;DAUPHIN II;01/01/2022;31/12/2022
FRA000931912;DEFI III;01/01/2022;31/12/2022
FRA000922393;FILS DU VENT;01/01/2022;31/12/2022
FRA000925050;FLASH;01/01/2022;31/12/2022
FRA000510092;GASTIBELZA;01/01/2022;31/12/2022
FRA000922378;GAVROCHE II;01/01/2022;31/12/2022
FRA000922403;GUILLAUDE;01/01/2022;31/12/2022
FRA000933042;HUGALICE;01/01/2022;31/12/2022
FRA000775898;JOKER;01/01/2022;31/12/2022
FRA000922430;KERSTIMAEL;01/01/2022;31/12/2022
FRA000922502;LA BETE A BON DIEU 2;01/01/2022;31/12/2022
FRA000922540;LA BULOTIERE III;01/01/2022;31/12/2022
FRA000711630;LA PIROUAISE III;01/01/2022;31/12/2022
FRA000922541;LA PRESQU'ILE II;01/01/2022;31/12/2022
FRA000922471;LA PROVIDENCE;01/01/2022;31/12/2022
FRA000922426;LAISSE FAIRE II;01/01/2022;31/12/2022
FRA000775921;LAURA VINCENT;01/01/2022;31/12/2022
FRA000932292;LE PETIT FRANCOIS;01/01/2022;31/12/2022
FRA000711420;LE PROLETAIRE;01/01/2022;31/12/2022
FRA000907926;L'ENZAUDE;01/01/2022;31/12/2022
FRA000775925;L'EQUINOXE;01/01/2022;31/12/2022
FRA000590401;LES ANTILLES;01/01/2022;31/12/2022
FRA000714399;L'IRIS DE SUSE;01/01/2022;31/12/2022
FRA000917408;L'OMERTA;01/01/2022;31/12/2022
FRA000640361;NAIS;01/01/2022;31/12/2022
FRA000925094;NAUSITHOE;01/01/2022;31/12/2022
FRA000922359;NO COMMENT I;01/01/2022;31/12/2022
FRA000922599;O GRE DES VENTS;01/01/2022;31/12/2022
FRA000922539;PERE JULES II;01/01/2022;31/12/2022
FRA000922383;PERE VONVON;01/01/2022;31/12/2022
FRA000643489;PETITE LAURA;01/01/2022;31/12/2022
FRA000922431;PETITE MARION;01/01/2022;31/12/2022
FRA000925078;ROSE DES CHAMPS II;01/01/2022;31/12/2022
FRA000878935;SAINT PATRICK;01/01/2022;31/12/2022
FRA000607610;SERPICO II;01/01/2022;31/12/2022
FRA000922565;SI ON CHANTAIT;01/01/2022;31/12/2022
FRA000711421;SPARTIATE;01/01/2022;31/12/2022
FRA000922497;SRI LANKA;01/01/2022;31/12/2022
FRA000922363;STESSARY;01/01/2022;31/12/2022
FRA000922401;IRIS IV;01/01/2022;31/12/2022
FRA000907974;LA CHUCHEROLLE;01/01/2022;31/12/2022
FRA000907893;OURAGAN;01/01/2022;31/12/2022
FRA000735890;LYSANDRE;01/01/2022;31/12/2022
FRA000922428;CHEZ - WAM;01/01/2022;31/12/2022
FRA000735422;ANTHINEAS;01/01/2022;31/12/2022
FRA000722240;CARPE DIEM 2;01/01/2022;31/12/2022
FRA000925064;C'EST L'AMERIQUE II;01/01/2022;31/12/2022
FRA000681985;GERLEAN;01/01/2022;31/12/2022
FRA000925093;KLABOUTER II;01/01/2022;31/12/2022
FRA000753056;MA BONNE ETOILE;01/01/2022;31/12/2022
FRA000922417;QUO VADIS II;01/01/2022;31/12/2022
FRA000922402;TORR PENN;01/01/2022;31/12/2022
FRA000934464;TERRE ET MER;01/01/2022;31/12/2022